Player name,WIKI ID,,,
Thibaut Courtois,http://en.wikipedia.org/wiki/Thibaut_Courtois,,,
Toby Alderweireld,http://en.wikipedia.org/wiki/Toby_Alderweireld,,,
Thomas Vermaelen,http://en.wikipedia.org/wiki/Thomas_Vermaelen,,,
Vincent Kompany,http://en.wikipedia.org/wiki/Vincent_Kompany,,,
Jan Vertonghen,http://en.wikipedia.org/wiki/Jan_Vertonghen,,,
Axel Witsel,http://en.wikipedia.org/wiki/Axel_Witsel,,,
Kevin De Bruyne,http://en.wikipedia.org/wiki/Kevin_De_Bruyne,,,
Marouane Fellaini,http://en.wikipedia.org/wiki/Marouane_Fellaini,,,
Romelu Lukaku,http://en.wikipedia.org/wiki/Romelu_Lukaku,,,
Eden Hazard,http://en.wikipedia.org/wiki/Eden_Hazard,,,
Kevin Mirallas,http://en.wikipedia.org/wiki/Kevin_Mirallas,,,
Simon Mignolet,http://en.wikipedia.org/wiki/Simon_Mignolet,,,
Sammy Bossut,http://en.wikipedia.org/wiki/Sammy_Bossut,,,
Dries Mertens,http://en.wikipedia.org/wiki/Dries_Mertens,,,
Daniel Van Buyten,http://en.wikipedia.org/wiki/Daniel_Van_Buyten,,,
Steven Defour,http://en.wikipedia.org/wiki/Steven_Defour,,,
Divock Origi,http://en.wikipedia.org/wiki/Divock_Origi,,,
Nicolas Lombaerts,http://en.wikipedia.org/wiki/Nicolas_Lombaerts,,,
Mousa Dembele,http://en.wikipedia.org/wiki/Mousa_Demb%C3%A9l%C3%A9,,,
Adnan Januzaj,http://en.wikipedia.org/wiki/Adnan_Januzaj,,,
Anthony Vanden Borre,http://en.wikipedia.org/wiki/Anthony_Vanden_Borre,,,
Nacer Chadli,http://en.wikipedia.org/wiki/Nacer_Chadli,,,
Laurent Ciman,http://en.wikipedia.org/wiki/Laurent_Ciman,,,
Marc Wilmots (M),http://en.wikipedia.org/wiki/Marc_Wilmots,,,
,,,,
,,,,